t, y1, y2, y3
8.8000e+00,   5.6269e-01,   1.3867e+00,  -2.7000e-01
8.9000e+00,   4.5111e-01,   1.4259e+00,  -2.1975e-01
9.0000e+00,   3.3520e-01,   1.4586e+00,  -1.6523e-01
9.1000e+00,   2.1584e-01,   1.4826e+00,  -1.0729e-01
9.2000e+00,   9.4114e-02,   1.4967e+00,  -4.7005e-02
9.3000e+00,  -2.8680e-02,   1.4997e+00,   1.4339e-02
9.4000e+00,  -1.5114e-01,   1.4915e+00,   7.5353e-02
9.5000e+00,  -2.7185e-01,   1.4726e+00,   1.3466e-01
9.6000e+00,  -3.8950e-01,   1.4444e+00,   1.9102e-01
9.7000e+00,  -5.0297e-01,   1.4086e+00,   2.4341e-01
9.8000e+00,  -6.1133e-01,   1.3674e+00,   2.9107e-01
9.9000e+00,  -7.1381e-01,   1.3228e+00,   3.3351e-01
1.0000e+01,  -8.0979e-01,   1.2770e+00,   3.7049e-01
